Integer Label,Text Label,Anatomic Region,Anatomic Region Modifier,Primary Anatomic Structure,Primary Anatomic Structure Modifier,Segmented Property Category -- CID 7150++,Segmented Property Type,DICOM Context Group for Anatomic Region or Segmented Property Type,Segmented Property Type Modifier,Color,Notes,
78,        right arcuate fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(276650,FMA,""Arcuate fasciculus"")",7153++,"        (G-A100,SRT,""Right"") ","        rgb(125,102,154)  ",        SNOMED needs fixing - specifies arcuate as synonym (ratehr than part        of) superior longitudinal fasciculus ,     
79,        left arcuate fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(276650,FMA,""Arcuate fasciculus"")",7153++,"        (G-A101,SRT,""Left"") ","        rgb(125,102,154)  ",        ,
80,        right uncinate fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","        (T-A2830,SRT,""Uncinate fasciculus"")",7153++,"        (G-A100,SRT,""Right"") ","        rgb(106,174,155)  ",        ,
81,        left uncinate fasciculus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","        (T-A2830,SRT,""Uncinate fasciculus"")",7153++,"        (G-A101,SRT,""Left"") ","        rgb(106,174,155)  ",        ,
82,        right cingulum bundle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2840,SRT,""Cingulum"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(154,146,83)  ",        ,
83,        left cingulum bundle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2840,SRT,""Cingulum"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(154,146,83)  ",        ,
84,        projection fibers  ,        , , , , , ,7153++, ," rgb(126,126,55)  ",        ,
85,        right corticospinal tract  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A7093,SRT,""Lateral corticospinal tract"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(201,160,133)  ",        ,
86,        left corticospinal tract  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A7093,SRT,""Lateral corticospinal tract"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(201,160,133)  ",        ,
87,        right optic radiation  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2880,SRT,""Optic radiation"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(78,152,141)  ",        ,
88,        left optic radiation  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2880,SRT,""Optic radiation"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(78,152,141)  ",        ,
89,        right medial lemniscus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5271,SRT,""Medial Lemniscus"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(174,140,103)  ",        ,
90,        left medial lemniscus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A5271,SRT,""Medial Lemniscus"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(174,140,103)  ",        ,
91,        right superior cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6620,SRT,""Superior cerebellar peduncle"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(139,126,177)  ",        ,
92,        left superior cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6620,SRT,""Superior cerebellar peduncle"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(139,126,177)  ",        ,
93,        right middle cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6630,SRT,""Middle cerebellar peduncle"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(148,120,72)  ",        ,
94,        left middle cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6630,SRT,""Middle cerebellar peduncle"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(148,120,72)  ",        ,
95,        right inferior cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6640,SRT,""Inferior cerebellar peduncle"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(186,135,135)  ",        ,
96,        left inferior cerebellar peduncle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A6640,SRT,""Inferior cerebellar peduncle"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(186,135,135)  ",        ,
97,        optic chiasm  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A800B,SRT,""Optic chiasm"")",7153++, ," rgb(99,106,24)  ",        ,
98,        right optic tract  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A8060,SRT,""Optic tract"")
",7153++,"        (G-A100,SRT,""Right"") "," rgb(156,171,108)  ",        ,
99,        left optic tract  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A8060,SRT,""Optic tract"")
",7153++,"        (G-A101,SRT,""Left"") "," rgb(156,171,108)  ",        ,
100,        right fornix  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2970,SRT,""Cerebral fornix"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(64,123,147)  ",        ,
101,        left fornix  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2970,SRT,""Cerebral fornix"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(64,123,147)  ",        ,
102,        commissural fibers  ,        , , , , , ,7153++, ," rgb(138,95,74)  ",        ,
103,        corpus callosum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A2700,SRT,""Corpus callosum"")",7153++, ," rgb(97,113,158)  ",        ,
104,        posterior commissure  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A4904,SRT,""Posterior cerebral commissure"")",7153++, ," rgb(126,161,197)  ",        ,
105,        cerebellar white matter  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A6080,SRT,""Cerebellar white matter"")",7153++,        ," rgb(194,195,164)  ",        ,
106,        CSF space  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A0109,SRT,""Brain cerebrospinal fluid pathway"")",7153++,        ," rgb(85,188,255)  ","        cf. # 25, is this one supposed to be brain-specific? assume so ",     
107,        ventricles of brain  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A1600,SRT,""Brain ventricle"")",7153++, ," rgb(88,106,215)  ",        ,
108,        right lateral ventricle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1650,SRT,""Lateral ventricle"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(88,106,215)  ",        ,
109,        left lateral ventricle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1650,SRT,""Lateral ventricle"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(88,106,215)  ",        ,
110,        right third ventricle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1740,SRT,""Third ventricle"")",7153++,"        (G-A100,SRT,""Right"") "," rgb(88,106,215)  ",        ,
111,        left third ventricle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1740,SRT,""Third ventricle"")",7153++,"        (G-A101,SRT,""Left"") "," rgb(88,106,215)  ",        ,
112,        cerebral aqueduct  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A1800,SRT,""Cerebral aqueduct"")",7153++, ," rgb(88,106,215)  ",        ,
113,        fourth ventricle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A1820,SRT,""Fourth ventricle"")",7153++, ," rgb(88,106,215)  ",        ,
114,        subarachnoid space  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1500,SRT,""Subarachnoid space"")",7153++, ," rgb(88,106,215)  ",        ,
115,        spinal cord  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A7010,SRT,""Spinal cord"")",7153++, ," rgb(244,214,49)  ",        ,
116,        gray matter of spinal cord  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A7020,SRT,""Spinal cord gray matter"")",7153++,        ," rgb(200,200,215)  ",        cf. #7   #39 ,     
117,        white matter of spinal cord  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A7070,SRT,""Spinal cord white matter"")",7153++,        ," rgb(250,250,225)  ",        ,
118,        endocrine system of brain  ,        , , , , , ,7153++, ," rgb(82,174,128)  ",what is this ? ant and pos pituitary ? infundibulum ? hypothalamus ? pineal too ? why group these ?,
119,        pituitary gland  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-B1000,SRT,""Pituitary"")",7153++, ," rgb(57,157,110)  ",        ,
120,        adenohypophysis  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-B1100,SRT,""Adenohypophysis"")",7153++, ," rgb(60,143,83)  ",        ,
121,        neurohypophysis  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-B1200,SRT,""Neurohypophysis"")",7153++, ," rgb(92,162,109)  ",        ,
122,        meninges  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1110,SRT,""Meninges"")",7153,        ," rgb(255,244,209)  ",        ,
123,        dura mater  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1120,SRT,""Dura mater"")",7153++, ," rgb(255,244,209)  ",        ,
124,        arachnoid  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1220,SRT,""Arachnoid"")",7153++, ," rgb(255,244,209)  ",        ,
125,        pia mater  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-A1280,SRT,""Pia mater"")",7153++, ," rgb(255,244,209)  ",        ,
126,        muscles of head  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-13100,SRT,""Muscle of head"")",4028++, ," rgb(201,121,77)  ",        ,
127,        salivary glands  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-61007,SRT,""Salivary gland"")",4028++, ," rgb(70,163,117)  ",        ,
128,        lips  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-52000,SRT,""Lip"")",4028++, ," rgb(188,91,95)  ",        ,
129,        nose  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-21000,SRT,""Nose"")",4028++, ," rgb(177,122,101)  ",        ,
130,        tongue  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-53000,SRT,""Tongue"")",4028++, ," rgb(166,84,94)  ",        ,
131,        soft palate  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-51120,SRT,""Soft palate"")",4028++, ," rgb(182,105,107)  ",        ,
132,        right inner ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-AB700,SRT,""Inner ear"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(229,147,118)  ",        ,
133,        left inner ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-AB700,SRT,""Inner ear"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(229,147,118)  ",        ,
134,        right external ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AB100,SRT,""External ear"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(174,122,90)  ",        ,
135,        left external ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AB100,SRT,""External ear"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(174,122,90)  ",        ,
136,        right middle ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AB300,SRT,""Middle ear"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(201,112,73)  ",        ,
137,        left middle ear  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AB300,SRT,""Middle ear"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(201,112,73)  ",        ,
138,        right eyeball  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AA770,SRT,""Eyeball"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(194,142,0)  ",        ,
139,        left eyeball  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-AA770,SRT,""Eyeball"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(194,142,0)  ",        ,
140,        skull  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11100,SRT,""Skull"")",4028,        ," rgb(241,213,144)  ",        ,
141,        right frontal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11110,SRT,""Frontal bone"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(203,179,77)  ",        ,
142,        left frontal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11110,SRT,""Frontal bone"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(203,179,77)  ",        ,
143,        right parietal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11120,SRT,""Parietal bone"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(229,204,109)  ",        ,
144,        left parietal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11120,SRT,""Parietal bone"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(229,204,109)  ",        ,
